id,query_label,drug,query_type,date,username,display_name,content,language,reply_count,retweet_count,like_count,quote_count,view_count,source,url,is_retweet,is_reply,scraped_at
1608531046940672000,wegovy_weight,wegovy,weight,2022-12-29T18:31:01+00:00,PewterReport,PewterReport 🏴‍☠️,"Last Call for 2023 New Year Offers at Age Rejuvenation!

• Weight Loss specials! (Lose up to 20 lbs in 60 days) 

• 3 mo. Wegovy (Semaglutide) 50% OFF 1st mo.

• 3 mo. HCG Diet 50% OFF 1st mo.

• 3 mo. Appetite suppressant program 25% OFF 1st mo.

https://t.co/Vzmj3oaZMe https://t.co/K6Y7Iad7T2",en,1,0,2,0,3269,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://x.com/PewterReport/status/1608531046940672000,False,False,2026-04-07T17:45:54.696403+00:00
1607767019528536066,wegovy_weight,wegovy,weight,2022-12-27T15:55:02+00:00,nnalinas,Athena Nalina 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲,"I offer a compounded form of semaglutide.

This is for people who have a significant amount of weight to lose, not just 5 or 10 pounds.  

Yes, diet and exercise are the way, but sometimes obese/overweight people could use some extra help.",en,0,0,3,0,274,"<a href=""https://tweethunter.io"" rel=""nofollow"">tweethunter [X]</a>",https://x.com/nnalinas/status/1607767019528536066,False,True,2026-04-07T17:45:54.696403+00:00
1606754388688752640,wegovy_weight,wegovy,weight,2022-12-24T20:51:12+00:00,AnniePo56772124,Annie Powell🇺🇦🌻🟦,"@Emmi_shane Are you talking about Wegovy and Mounjaro? I’m On Mounjaro and I’ve lost 70 lbs. no side effects and I know I will have to be on the meds for life. My labwork is normal and I don’t crave sugar or binge anymore. Is different for everyone, but for me it’s great.",en,0,0,1,0,145,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/AnniePo56772124/status/1606754388688752640,False,False,2026-04-07T17:45:54.696403+00:00
1606657709998329860,wegovy_weight,wegovy,weight,2022-12-24T14:27:02+00:00,tobymindmatter,Toby Griffiths,@mark_bikes @OwenJones84 Wegovy is an appetite supressant that works with a calorie-controlled diet and increased exercise. So even the producers of these drugs are fixating on the diet and exercise aspects of losing fat and keeping it off 😂,en,0,0,0,0,65,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/tobymindmatter/status/1606657709998329860,False,True,2026-04-07T17:45:54.696403+00:00
1606341601156108299,wegovy_weight,wegovy,weight,2022-12-23T17:30:56+00:00,Choojimmy,Ghetto Sarah Lee,"@SnitchOnThese Wegovy is insane, I saw someone I used to work with lost 45 pounds",en,1,0,0,0,130,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/Choojimmy/status/1606341601156108299,False,True,2026-04-07T17:45:54.696403+00:00
1606234554955665409,wegovy_weight,wegovy,weight,2022-12-23T10:25:34+00:00,intelcrows,IntelCrow,In case you missed one of our most read stories of 2022: Wegovy is the first in a new generation of obesity treatments which use a hormone to regulate appetite. But there are side effects and the FT’s Hannah Kuchler asks whether it’s a misguided treatment https://t.co/PhQjfteUB1,en,0,0,0,0,56,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://x.com/intelcrows/status/1606234554955665409,False,False,2026-04-07T17:45:54.697401+00:00
1606228178397175808,wegovy_weight,wegovy,weight,2022-12-23T10:00:14+00:00,FinancialTimes,Financial Times,In case you missed one of our most read stories of 2022: Wegovy is the first in a new generation of obesity treatments which use a hormone to regulate appetite. But there are side effects and the FT’s Hannah Kuchler asks whether it’s a misguided treatment https://t.co/NHZ5pFu5Ay,en,0,5,7,0,24398,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",https://x.com/FinancialTimes/status/1606228178397175808,False,False,2026-04-07T17:45:54.697401+00:00
1606189916890677248,wegovy_weight,wegovy,weight,2022-12-23T07:28:12+00:00,JeffA000,Jeff A ⚜️,"@MichaelAlbertMD The semaglutide group was more successful due to appetite suppression from sema, i.e. they ate less.  You're assuming kcal were actually matched which I can assure you the semaglutide group ate less. Contrary to your assertion &amp; tells me you have never done an obesity trial.",en,2,0,0,0,652,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/JeffA000/status/1606189916890677248,False,True,2026-04-07T17:45:54.697401+00:00
1606189276651311106,wegovy_weight,wegovy,weight,2022-12-23T07:25:39+00:00,TheScree,Scree,"Shower thought; @elonmusk took Wegovy and lost weight... this class of drug reduces weight gain by primarily reducing appetite.

If this were deployed to larger population wouldn't that reduce need to grow as much food and improve climate?",en,0,0,0,0,188,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/TheScree/status/1606189276651311106,False,False,2026-04-07T17:45:54.697401+00:00
1606083173728780289,wegovy_weight,wegovy,weight,2022-12-23T00:24:02+00:00,weight_lossidea,Best Weight Loss Tips and Ideas,"Elon Musk swears by the #weight-#loss drug Wegovy, and Kim Kardashian is rumored to have used it to shed 16 pounds in three weeks to squeeze into a ...
                         https://t.co/sX1sGjyGLS",en,0,0,0,0,97,"<a href=""https://app.heropost.io/"" rel=""nofollow"">Heropost</a>",https://x.com/weight_lossidea/status/1606083173728780289,False,False,2026-04-07T17:45:54.697401+00:00
